iter	Passed	Remaining
410	4089	15811
411	4098	15796
412	4105	15777
413	4117	15774
414	4125	15756
415	4133	15740
416	4143	15730
417	4158	15737
418	4166	15721
419	4174	15705
420	4183	15692
421	4199	15702
422	4207	15686
423	4216	15674
424	4224	15657
425	4240	15666
426	4248	15651
427	4257	15636
428	4266	15624
429	4282	15635
430	4290	15618
431	4300	15607
432	4307	15590
433	4323	15602
434	4332	15588
435	4341	15573
436	4349	15558
437	4365	15567
438	4373	15550
439	4381	15535
440	4389	15518
441	4405	15527
442	4413	15512
443	4422	15498
444	4431	15484
445	4446	15492
446	4454	15477
447	4463	15461
448	4471	15446
449	4488	15461
450	4497	15446
451	4505	15431
452	4519	15434
453	4528	15419
454	4535	15400
455	4544	15386
456	4556	15383
457	4563	15365
458	4572	15351
459	4581	15338
460	4593	15334
461	4601	15318
462	4609	15302
463	4617	15284
464	4625	15268
465	4640	15275
466	4648	15257
467	4655	15239
468	4663	15224
469	4678	15229
470	4687	15216
471	4695	15199
472	4703	15183
473	4714	15179
474	4723	15163
475	4730	15145
476	4738	15129
477	4750	15125
478	4758	15109
479	4766	15094
480	4775	15079
481	4787	15077
482	4794	15059
483	4802	15043
484	4811	15029
485	4823	15027
486	4832	15012
487	4842	15004
488	4851	14989
489	4864	14990
490	4872	14975
491	4880	14959
492	4890	14948
493	4905	14953
494	4920	14961
495	4929	14946
496	4937	14932
497	4948	14924
498	4955	14907
499	4963	14891
500	4972	14876
501	4984	14872
502	4991	14855
503	4999	14841
504	5007	14824
505	5019	14819
506	5026	14802
507	5034	14787
508	5043	14774
509	5054	14768
510	5062	14751
511	5070	14735
512	5078	14720
513	5087	14707
514	5095	14694
515	5105	14682
516	5113	14667
517	5126	14666
518	5134	14653
519	5142	14637
520	5151	14624
521	5164	14623
522	5172	14607
523	5179	14590
524	5187	14574
525	5197	14564
526	5204	14547
527	5214	14536
528	5222	14521
529	5233	14515
530	5241	14499
531	5249	14486
532	5257	14470
533	5271	14472
534	5280	14458
535	5288	14445
536	5297	14433
537	5312	14436
538	5320	14421
539	5329	14408
540	5337	14393
541	5351	14396
542	5360	14382
543	5369	14370
544	5379	14361
545	5395	14367
546	5405	14359
547	5414	14346
548	5426	14341
549	5434	14327
550	5443	14314
551	5452	14301
552	5466	14302
553	5474	14288
554	5482	14274
555	5491	14262
556	5505	14263
557	5513	14247
558	5522	14236
559	5530	14221
560	5544	14222
561	5552	14207
562	5561	14194
563	5569	14180
564	5582	14177
565	5590	14164
566	5599	14152
567	5608	14140
568	5622	14141
569	5631	14127
570	5641	14117
