iter	Logloss
0	0.6840813257
1	0.6749740264
2	0.6661253327
3	0.657395739
4	0.6488265917
5	0.6409775097
6	0.6325987216
7	0.6250748412
8	0.6175647366
9	0.6098459727
10	0.6022002664
11	0.5950476189
12	0.5884107837
13	0.5818259622
14	0.5751600605
15	0.568682458
16	0.5623338851
17	0.5563357116
18	0.5499352964
19	0.5442350669
20	0.5385450988
21	0.5330281992
22	0.5274689178
23	0.522030016
24	0.5172262199
25	0.5122345381
26	0.5072218726
27	0.5025850303
28	0.4980271503
29	0.4936074797
30	0.4891243281
31	0.4847240463
32	0.4804961833
33	0.4765378671
34	0.4727529496
35	0.4689686451
36	0.4650102069
37	0.4610093263
38	0.4572089866
39	0.4538155435
40	0.4503896649
41	0.4471002296
42	0.4437843555
43	0.4406098736
44	0.4376062527
45	0.4343206813
46	0.4314297467
47	0.4284538826
48	0.4257089204
49	0.4226008991
50	0.419949014
51	0.4174124024
52	0.4149510612
53	0.4123536069
54	0.4096761874
55	0.4073936387
56	0.405063791
57	0.4026693856
58	0.4004376627
59	0.3983253383
60	0.3960961182
61	0.3941715133
62	0.3921950001
63	0.3902273962
64	0.3882619566
65	0.3865194862
66	0.3846896297
67	0.3829505553
68	0.3813044942
69	0.3793857727
70	0.3776342698
71	0.3758511215
72	0.3741181148
73	0.3724783694
74	0.3706760343
75	0.3690779187
76	0.3676348481
77	0.3661481799
78	0.3646645383
79	0.3633035029
80	0.361936814
81	0.3606403891
82	0.3595554285
83	0.3582163593
84	0.3570477972
85	0.3558816937
86	0.3546331044
87	0.3534612848
88	0.3524524079
89	0.3514972765
90	0.3504583067
91	0.3492400684
92	0.348273128
93	0.3471809053
94	0.3462748743
95	0.3453587688
96	0.3443853976
97	0.3434694999
98	0.3425776315
99	0.3415917313
100	0.3408060567
101	0.3400608146
102	0.3392031468
103	0.3383437928
104	0.3374637447
105	0.3366532802
106	0.3359262009
107	0.3351594203
108	0.3343588693
109	0.3337080176
110	0.3329601743
111	0.332280245
112	0.3315642163
113	0.3307566986
114	0.3301131927
115	0.3295470543
116	0.3290016108
117	0.3284687086
118	0.3279235519
119	0.3273477347
120	0.3268314701
121	0.3261532495
122	0.3256823754
123	0.3251182692
124	0.3245679352
125	0.3240443838
126	0.3235393816
127	0.3231042281
128	0.3225868575
129	0.3220497253
130	0.32148032
131	0.3210597752
132	0.320514677
133	0.3200247444
